merchant_name,category
PONNU SUPER MARKET,Other
Infinite 4,Entertainment
CHENNAI METRO RAIL LTD,Travel
SHEETAL RESTAURANT,Food & Grocery
SHRI SADGURU SERVICE S,Housing
Ornat Foods Private Limited,Food & Grocery
JEYACHANDRAN TEXTILES,Ecommerce & Shopping
SHREE GOKULESH,Food & Grocery
Marine Insight,Organization
SAI WINES,Food & Grocery
Life force Molecules Private Limited1,Health & Fitness
SHRADDHA EXTENSION,Other
KUSHAGRA BUILDERS,Housing
PAYPAL *ZINGOY RWDS,Other
SUBHASHINI ENTERPRISES,Ecommerce & Shopping
Dream11,Entertainment
RABBITWIN,Ecommerce & Shopping
LIQUOR DROPS,Food & Grocery
LUNAR BAKERS,Food & Grocery
Exide Life Insurance Company Ltd,Finance
DAN Artworks India,Ecommerce & Shopping
M/S SAI PETRO HUB,Travel
Teramera Studio,Ecommerce & Shopping
SUN ENTERPRISES,Housing
POSH AFFAIR,Ecommerce & Shopping
RATAN PETROLEUM,Travel
COFFEE BY DIBELLA,Food & Grocery
HIGHWAY SERVICE,Housing
Famian Healthcare Pvt Ltd,Health & Fitness
N.A. Calligraphy,Entertainment
OM MART,Other
Primes and Zooms,Entertainment
SAGAR AUTOMOBILE,Housing
SWATI PETROLEUM,Travel
The Scindia Education Society,Education
Ashsell,Ecommerce & Shopping
OM SAI RAM FILLING,Travel
Deesa Nagarpalika,Ecommerce & Shopping
DELHI STATE CIVIL SUPP,Government Organization
Citruspay* instamojo,Other
Digital Belly Services India LLP,Organization
ZARA INDIA-9216,Ecommerce & Shopping
Galaxy IT Station,Organization
Provogue IRCTC,Travel
PANDIYAN HERITAGE RESTAURCHENNAI,Food & Grocery
KAIRALI AYURVEDIC PRODUCTS PVT LTD,Ecommerce & Shopping
ANUPAM STATIONERY PLAZ,Other
HIGHWAY STAR REST,Travel
AZRTA APPARELS,Ecommerce & Shopping
Pills & Pendants,Ecommerce & Shopping
SAHAS FILLING STATION,Travel
